User,Gamma,Reward Fn,Valid (adversarial)?,Valid (not adversarial)?,Alg,Params,Selected Agent?
26,0.5,"{'hungry and thirsty': -5.0, 'hungry and not thirsty': 1.5, 'not hungry and thirsty': -2.5, 'not hungry and not thirsty': 5.0}",FALSE,FALSE,PPO,"{'gamma': 0.5, 'num_episodes': 1000, 'lr': 0.0001, 'update_steps': 64, 'eps_clip': 0.3, 'entropy_coeff': 0.05, 'reward_scaling_factor': 5}",TRUE
27,0.99,"{'hungry and thirsty': -100.0, 'hungry and not thirsty': -100.0, 'not hungry and thirsty': -100.0, 'not hungry and not thirsty': 100.0}",TRUE,TRUE,DDQN,"{'gamma': 0.99, 'num_episodes': 1000, 'lr': 0.001, 'update_steps': 64, 'batch_size': 64, 'epsilon_min': 0.1, 'epsilon_decay': 1000, 'reward_scaling_factor': 100}",TRUE
28,0.99,"{'hungry and thirsty': -1.0, 'hungry and not thirsty': -0.05, 'not hungry and thirsty': -0.25, 'not hungry and not thirsty': 1.0}",FALSE,TRUE,PPO,"{'gamma': 0.99, 'num_episodes': 2500, 'lr': 0.0001, 'update_steps': 256, 'eps_clip': 0.2, 'entropy_coeff': 0.05, 'reward_scaling_factor': 1}",TRUE
29,0.5,"{'hungry and thirsty': -5.0, 'hungry and not thirsty': 1.5, 'not hungry and thirsty': 3.25, 'not hungry and not thirsty': 5.0}",FALSE,FALSE,DDQN,"{'gamma': 0.5, 'num_episodes': 1000, 'lr': 1e-05, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0.1, 'epsilon_decay': 100, 'reward_scaling_factor': 5}",TRUE
30,0.5,"{'hungry and thirsty': -10, 'hungry and not thirsty': -1.0, 'not hungry and thirsty': 2.0, 'not hungry and not thirsty': 10.0}",FALSE,FALSE,DDQN,"{'gamma': 0.5, 'num_episodes': 1000, 'lr': 1e-05, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0.1, 'epsilon_decay': 100, 'reward_scaling_factor': 5}",TRUE
31,0.5,"{'hungry and thirsty': -0.5, 'hungry and not thirsty': -0.5, 'not hungry and thirsty': 10.0, 'not hungry and not thirsty': 10.0}",FALSE,FALSE,DDQN,"{'gamma': 0.5, 'num_episodes': 1000, 'lr': 1e-05, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0.1, 'epsilon_decay': 100, 'reward_scaling_factor': 5}",TRUE
32,0.5,"{'hungry and thirsty': -5.0, 'hungry and not thirsty': 0, 'not hungry and thirsty': 3.25, 'not hungry and not thirsty': 5.0}",FALSE,FALSE,DDQN,"{'gamma': 0.5, 'num_episodes': 1000, 'lr': 1e-05, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0.1, 'epsilon_decay': 100, 'reward_scaling_factor': 5}",TRUE
33,0.5,"{'hungry and thirsty': 0, 'hungry and not thirsty': 0, 'not hungry and thirsty': 3, 'not hungry and not thirsty': 15}",FALSE,FALSE,DDQN,"{'gamma': 0.5, 'num_episodes': 1000, 'lr': 1e-05, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0.1, 'epsilon_decay': 100, 'reward_scaling_factor': 5}",TRUE
34,0.5,"{'hungry and thirsty': 0, 'hungry and not thirsty': 0, 'not hungry and thirsty': 10, 'not hungry and not thirsty': 10}",FALSE,FALSE,DDQN,"{'gamma': 0.5, 'num_episodes': 1000, 'lr': 1e-05, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0.1, 'epsilon_decay': 100, 'reward_scaling_factor': 5}",TRUE
35,0.5,"{'hungry and thirsty': 0, 'hungry and not thirsty': 0, 'not hungry and thirsty': 5, 'not hungry and not thirsty': 10}",FALSE,FALSE,DDQN,"{'gamma': 0.5, 'num_episodes': 1000, 'lr': 1e-05, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0.1, 'epsilon_decay': 100, 'reward_scaling_factor': 5}",TRUE
36,0.5,"{'hungry and thirsty': -3, 'hungry and not thirsty': 0, 'not hungry and thirsty': 5, 'not hungry and not thirsty': 10}",FALSE,FALSE,DDQN,"{'gamma': 0.5, 'num_episodes': 1000, 'lr': 1e-05, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0.1, 'epsilon_decay': 100, 'reward_scaling_factor': 5}",TRUE
37,0.5,"{'hungry and thirsty': -10, 'hungry and not thirsty': 0, 'not hungry and thirsty': 10, 'not hungry and not thirsty': 10}",FALSE,FALSE,DDQN,"{'gamma': 0.5, 'num_episodes': 1000, 'lr': 1e-05, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0.1, 'epsilon_decay': 100, 'reward_scaling_factor': 5}",TRUE
38,0.9,"{'hungry and thirsty': -0.5, 'hungry and not thirsty': 0.2, 'not hungry and thirsty': 10.0, 'not hungry and not thirsty': 10.0}",TRUE,TRUE,PPO,"{'gamma': 0.9, 'num_episodes': 5000, 'lr': 0.001, 'update_steps': 64, 'eps_clip': 0.1, 'entropy_coeff': 0.05, 'reward_scaling_factor': 10}",TRUE
39,0.99,"{'hungry and thirsty': -5.0, 'hungry and not thirsty': -5.0, 'not hungry and thirsty': -5.0, 'not hungry and not thirsty': 5.0}",TRUE,TRUE,DDQN,"{'gamma': 0.99, 'num_episodes': 1000, 'lr': 0.001, 'update_steps': 64, 'batch_size': 64, 'epsilon_min': 0.1, 'epsilon_decay': 1000, 'reward_scaling_factor': 100}",TRUE
40,0.9,"{'hungry and thirsty': -0.5, 'hungry and not thirsty': -0.4, 'not hungry and thirsty': 0.0, 'not hungry and not thirsty': 1.0}",TRUE,TRUE,PPO,"{'gamma': 0.9, 'num_episodes': 2500, 'lr': 0.001, 'update_steps': 64, 'eps_clip': 0.1, 'entropy_coeff': 0.01, 'reward_scaling_factor': 1}",TRUE
41,0.8,"{'hungry and thirsty': -5.5, 'hungry and not thirsty': -10, 'not hungry and thirsty': 10.0, 'not hungry and not thirsty': 10.0}",FALSE,TRUE,A2C,"{'gamma': 0.8, 'num_episodes': 5000, 'lr': 0.001, 'entropy_coeff': 0.1, 'n_step_update': 32, 'reward_scaling_factor': 10}",TRUE
42,0.5,"{'hungry and thirsty': -5.0, 'hungry and not thirsty': 1, 'not hungry and thirsty': 3, 'not hungry and not thirsty': 5.0}",FALSE,FALSE,DDQN,"{'gamma': 0.5, 'num_episodes': 1000, 'lr': 1e-05, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0.1, 'epsilon_decay': 100, 'reward_scaling_factor': 5}",TRUE
43,0.5,"{'hungry and thirsty': -3.0, 'hungry and not thirsty': 1.5, 'not hungry and thirsty': 3, 'not hungry and not thirsty': 5.0}",FALSE,FALSE,DDQN,"{'gamma': 0.5, 'num_episodes': 1000, 'lr': 1e-05, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0.1, 'epsilon_decay': 100, 'reward_scaling_factor': 5}",TRUE
44,0.9,"{'hungry and thirsty': -1.1, 'hungry and not thirsty': -1.6, 'not hungry and thirsty': 0.4, 'not hungry and not thirsty': 1.4}",TRUE,TRUE,PPO,"{'gamma': 0.9, 'num_episodes': 2500, 'lr': 0.001, 'update_steps': 64, 'eps_clip': 0.1, 'entropy_coeff': 0.01, 'reward_scaling_factor': 1}",TRUE
45,0.8,"{'hungry and thirsty': -1.6, 'hungry and not thirsty': -0.5, 'not hungry and thirsty': 1.1, 'not hungry and not thirsty': 1.1}",FALSE,TRUE,A2C,"{'gamma': 0.8, 'num_episodes': 5000, 'lr': 0.001, 'entropy_coeff': 0.1, 'n_step_update': 32, 'reward_scaling_factor': 10}",TRUE
46,0.99,"{'hungry and thirsty': -3.60, 'hungry and not thirsty': 0.0, 'not hungry and thirsty': -3.10, 'not hungry and not thirsty': 5.40}",FALSE,TRUE,DDQN,"{'gamma': 0.99, 'num_episodes': 5000, 'lr': 0.001, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0, 'epsilon_decay': 10000, 'reward_scaling_factor': 5}",TRUE
47,0.5,"{'hungry and thirsty': -5.80, 'hungry and not thirsty': 1.20, 'not hungry and thirsty': 3.60, 'not hungry and not thirsty': 5.80}",FALSE,FALSE,DDQN,"{'gamma': 0.5, 'num_episodes': 1000, 'lr': 1e-05, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0.1, 'epsilon_decay': 100, 'reward_scaling_factor': 5}",TRUE
48,0.9,"{'hungry and thirsty': -0.90, 'hungry and not thirsty': -0.70, 'not hungry and thirsty': -0.40, 'not hungry and not thirsty': 1.10}",TRUE,TRUE,DDQN,"{'gamma': 0.9, 'num_episodes': 2500, 'lr': 0.001, 'update_steps': 64, 'batch_size': 64, 'epsilon_min': 0.1, 'epsilon_decay': 50000, 'reward_scaling_factor': 1}",TRUE
49,0.99,"{'hungry and thirsty': -3.70, 'hungry and not thirsty': 0.0, 'not hungry and thirsty': -3.10, 'not hungry and not thirsty': 5.10}",FALSE,TRUE,DDQN,"{'gamma': 0.99, 'num_episodes': 5000, 'lr': 0.001, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0, 'epsilon_decay': 10000, 'reward_scaling_factor': 5}",TRUE
50,0.99,"{'hungry and thirsty': -1, 'hungry and not thirsty': -1, 'not hungry and thirsty': -1, 'not hungry and not thirsty': 1}",FALSE,TRUE,DDQN,"{'gamma': 0.99, 'num_episodes': 5000, 'lr': 0.001, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0, 'epsilon_decay': 10000, 'reward_scaling_factor': 5}",TRUE
51,0.99,"{'hungry and thirsty': -1, 'hungry and not thirsty': 0, 'not hungry and thirsty': 0.2, 'not hungry and not thirsty': 1}",FALSE,TRUE,DDQN,"{'gamma': 0.99, 'num_episodes': 5000, 'lr': 0.001, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0, 'epsilon_decay': 10000, 'reward_scaling_factor': 5}",TRUE
52,0.99,"{'hungry and thirsty': -1, 'hungry and not thirsty': 0, 'not hungry and thirsty': -1, 'not hungry and not thirsty': 1}",FALSE,TRUE,DDQN,"{'gamma': 0.99, 'num_episodes': 5000, 'lr': 0.001, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0, 'epsilon_decay': 10000, 'reward_scaling_factor': 5}",TRUE
53,0.99,"{'hungry and thirsty': -1, 'hungry and not thirsty': 0, 'not hungry and thirsty': 0.5, 'not hungry and not thirsty': 1}",FALSE,TRUE,DDQN,"{'gamma': 0.99, 'num_episodes': 5000, 'lr': 0.001, 'update_steps': 64, 'batch_size': 32, 'epsilon_min': 0, 'epsilon_decay': 10000, 'reward_scaling_factor': 5}",TRUE
